"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Herokuapp","0","Drag and Drop Functionality on Herokuapp","3","0","DragAndDrop Functionality","0"
"0","Herokuapp","0","Login Functionality on Herokuapp","7","0","Login Functionality","0"
"0","Herokuapp","0","Checkboxes Functionality on Herokuapp","5","0","Checkboxes Functionality","0"
